"","FP_1","FP_2","FP_3","FP_4","FS_1","FS_2","FS_3","N_1","N_2","N_3"
"P21333",7280000,6010000,3370000,2850000,10300000,13600000,1e+07,12200000,12800000,12500000
"P21399",11063.3,11779.8,8520.45,13986.5,15098.2,16805.4,12366.2,12603.4,14403,16790.1
"P21589",13727.5,11018.5,7988.55,7404.26,14187.4,5482.83,16386.9,4494.45,17144.5,13308.4
"P21810",3290000,3490000,2480000,867924,3300000,1820000,1890000,1640000,1920000,2640000
"P21926",6623.33,5553.09,4843.76,4081.37,9750.36,10269.9,5614.05,6683.97,10663.9,6058.89
"P21980",312420,237496,178753,161923,301729,332947,357277,252306,278790,229653
"P22061",10197.2,12779.5,8830.34,10895.7,16661.6,18217.6,18838,20139.7,21589.9,25127.3
"P22105",269415,274846,308503,221661,301703,254111,402783,221265,206685,277252
"P22314",53350.4,48969,28583.7,51869.8,80724.2,59234.2,58752.8,61347.2,72558.4,63629
"P22352",99195.9,55029.1,78848.9,40839.3,80564.2,54304,85583.1,63656.7,42413.6,81459.5
"P22626",38509,37708.7,31893.2,42932.1,44329.1,58914.4,74807.2,58311.6,49569.9,75011.4
"P22695",9165.6,5500.48,2603.82,3445.85,9857.55,16228.6,15387.4,16798.1,17307.5,10877.3
"P23141",2177.92,2504.11,3586.8,820.62,1532.32,3328.59,5572.93,5255.76,3158.86,2606.25
"P23142",429346,185472,183971,283506,203691,196439,214190,141656,152552,262728
"P23284",83652.3,60549.1,54938.9,91332.7,119676,106074,99423.5,110644,88576.8,96077.3
"P23396",28234.6,21834.4,20513,26715.4,36773.7,21424,35240.8,30490.8,36027.7,32240.3
"P23526",11820.6,11725.9,7667.6,2611.58,16711.2,15810.8,11843.7,16262.8,15840.5,8887.88
"P23528",64772.6,56477.2,60055.3,66242.3,99171,134998,125686,85845.2,79630.2,212257
"P23634",7723.13,6106.05,3680.71,5349.25,7228.59,18524.2,14517.4,11247.3,16148,11571.7
"P24752",14727.9,12744.1,4038.88,11343.5,22678.7,27353.6,24557.7,33368.6,31462.4,24698.4
"P24844",92023.8,139014,123965,74426,72721.6,98332.4,231128,280758,154582,411756
"P25325",5691.71,4265.11,1325.05,1071.79,4667.54,3714.51,3847.89,10131.4,3875.66,7221.51
"P25398",11752.1,9352.92,8586.86,14053.9,10663.6,13408.1,13949.6,12657.8,10993.9,17005.9
"P25705",118606,155897,111615,124426,194937,210255,177666,231183,254610,171895
"P25786",8769.16,6568.64,5916.96,3774.88,8933.39,8295.49,9074.18,7348.8,11654.2,12504.3
"P25787",2272.4,2594.13,2473.7,1919.68,1292.73,3335.79,4192.07,1341.48,1792.56,4393.16
"P25788",4263.65,3145.4,2015.58,8620.23,12221.2,12872.6,10268.1,13101.9,12804,11740.7
"P25789",7987.82,5831.58,3500.95,6075.25,11313.5,11729.2,10757.8,10626.2,10839.6,10684.9
"P26006",7020.36,7925.73,8727.7,5628.73,9067.4,16605.3,12374.8,14283.3,15309.7,17655.6
"P26038",169790,159273,123856,129052,274467,295758,231657,242781,273784,262873
"P26373",13762.7,11750.5,8803.84,10850.6,12741.3,16490.5,13659.5,13885,17541.3,12649.6
"P26447",102583,74164.8,74052.7,44531.1,71244.2,124005,134420,54747.6,78131.2,196039
"P26641",6068.82,5924.97,6257.7,8576.46,2926.14,7070.21,8518.31,11328.8,4640,5428.1
"P26885",6797.28,6423.98,4700.89,5961.72,12038.1,9134.27,10728.6,12514.4,11706,13788.4
"P27105",22466.3,18936.1,22176.8,21811.1,46308.8,38429.8,20039.2,24618.2,43382,26671.5
"P27338",15373.7,10903.2,4928.98,3054.67,27055.4,21356.5,11795.4,24592.8,24092.3,13549.4
"P27348",34241.9,30663.4,20869.9,30144.7,44469,63556.7,42229,36929.4,53137.8,49720.7
"P27797",74029.5,59326.3,41438.5,96071.4,86969.4,79308.9,108720,82442.6,70418,116587
"P27816",37152.3,18143.5,5700.65,11526.5,51735.5,64121.9,89271.8,45978.6,72278.7,113930
"P27824",24401.8,20901.4,17569.8,20592.2,26286.7,32388.8,36753.8,38242.2,29576.8,33181.1
"P27918",16027.6,10656.4,6368.37,6603.02,10152.9,2070.42,9498.89,1492.15,573.33,20873.8
"P28065",1711.82,1413.73,1256.97,2016.69,1662.87,1292.5,1373.93,1065.63,1197.82,1013.13
"P28066",4594.81,1865.87,2014.91,7960.6,6518.29,6833.97,10171.1,9927.29,10546.8,7417.54
"P28072",4857.77,3338.25,3580.44,4862.14,4803.14,6248.58,6909.93,7163.06,6748.41,7511.98
"P28074",3602.21,1671.32,1026.9,3106.31,3593.74,4619.98,4430.7,4046.28,5426.6,2443.42
"P28289",4376.92,1001.71,389.7,675.38,7518.34,6278.75,5921.84,5198.42,3699.4,5462.62
"P28482",9082.98,10931.9,8362.5,9593.97,12066.5,14755.7,15081.3,19047.3,16519.5,17387.6
"P28838",7579.52,2449.84,4600.62,12643.4,6473.17,3942.73,4848.76,8481.56,4283.85,11035.3
"P29218",4835.5,3170.01,2654.82,895.87,4355.53,5517.67,1141.98,4179.44,993.17,5142.82
"P29401",65071.7,48820.6,34381.3,46128.3,73391.6,64947.4,67096.1,51642.4,60097.5,67003.8
"P29536",72550.3,97745,53707.1,28752.3,132068,180958,122028,148045,187782,194912
"P29622",26907.7,35324.9,33953.3,7844.2,7656.85,23159.3,19607.5,12429.5,12048.2,17814.6
"P29692",4887.8,5115.78,6896.6,9478.37,7083.19,6053.01,9508.05,11434,6028,10065.5
"P30041",122726,97474.3,70130.2,84803.6,161873,141235,134173,178795,167708,152287
"P30043",17973.5,20866.4,11545.8,39079.1,20903,25760.1,47451.9,31559,30379.2,37852.7
"P30044",39633.1,22105.1,18258.6,37678.3,30977.4,29394.6,42008.8,26199.2,31890.9,53703.9
"P30046",6896.98,6323.83,2654.12,4327.02,7135.45,4779.31,5932.12,8898.76,5665.45,5472.71
"P30048",15659.5,14929.3,12167,17359.5,19431,24963.9,25827.2,28717.8,23836.2,22321.7
"P30049",7885.24,6629.3,6209.4,8546.56,11616.7,13140.7,12663.2,12542.6,13274.4,13607.7
"P30050",12384.7,13380.7,10431.1,23874.4,23448.7,23724,18653.6,26376.5,25386.1,5562.94
"P30084",2690.26,2113.01,2473.02,6085.98,6693.93,10063.8,5994.07,8258.73,9232.21,4811.97
"P30086",136812,154372,92781.2,102232,160194,213044,167434,258237,188754,242437
"P30101",103676,69616.5,71489.2,118974,146070,125724,138449,130120,105668,175976
"P30153",16831,12652.7,10724.8,20435.4,35019.5,38324.2,29300.3,34660.5,40890.1,36625.9
"P30626",14017.3,11523.6,8885.01,6069.99,16572.5,19997.9,20147.3,17094.4,20843.1,24697
"P30740",15437.6,10074.1,8656.29,4240.77,14691.2,8165.74,12957.6,10537.5,13671.2,11745.2
"P30837",39722.1,20732.2,16356.1,12835.8,43044.6,108370,61457.6,119563,94398.8,67727.1
"P31150",47481.9,37229.9,17328,18070.6,62211.6,65770.4,43984.4,34584.5,44170.8,55051.7
"P31930",4196.9,3262.4,5125.84,6976.11,9374.9,9900.01,11694,12617.1,10450.6,11245.7
"P31939",3922.09,5288.08,2060.53,3914.1,5119.96,9962,4342.07,6594.51,9301.44,11291.2
"P31946",43402.9,29844.4,24526.1,39656.4,48439.8,64336.3,56274.2,46119.9,47847.7,60240.8
"P31948",14951.2,12359.7,10447.8,9287.74,22098.6,26658.6,22161.5,28823.2,28118.4,26485.6
"P31949",57482.3,47953.8,63846.4,61597,50593.5,65668.3,81326,49992.6,46102.1,82996.6
"P32119",99220.2,114940,84963.4,249338,91742.6,134396,241071,170935,155897,212584
"P32455",33228.5,29559.8,21614,28393.6,52520.7,48377.2,48515.3,45744.4,58391.1,53756.6
"P33176",4680.62,3453.91,2614.9,1428.1,3935.48,3909.55,3160.65,4510.16,5480.55,5404.96
"P34932",3363.25,2846.67,877,2939.83,3644.41,3548.8,4002.35,4368.12,7639.03,9633.01
"P35080",9514.98,11654.1,8421.52,7806.42,17933.1,13200.7,16314.9,11191.4,24457.4,31051.3
"P35232",4852.57,6067.93,4571.46,7749.02,9840.58,9181.57,10363.9,12094.3,11197.4,10315.3
"P35237",14732.8,13652.1,12014.7,12605.6,22498.8,10717.2,13328.4,8204.8,10916.3,5502.67
"P35527",13903.2,18478.2,3971.8,25280,14649.8,8231.57,15516,14364.1,11452.4,14233.9
